Transect_id,Species,TL_cm
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,9
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,10
32,white grunt,8
32,white grunt,9
32,white grunt,14
32,white grunt,15
32,white grunt,15
33,redband parrotfish,8
33,redband parrotfish,7
33,redband parrotfish,8
33,redband parrotfish,6
33,redband parrotfish,5
33,redband parrotfish,7
33,redband parrotfish,8
33,redband parrotfish,6
34,white grunt,9
34,white grunt,10
34,white grunt,18
34,white grunt,19
34,white grunt,8
34,white grunt,8
34,white grunt,8
34,white grunt,8
34,white grunt,9
34,white grunt,9
34,white grunt,9
34,white grunt,9
34,redband parrotfish,3
35,white grunt,14
35,white grunt,14
35,white grunt,15
35,white grunt,15
35,white grunt,16
35,white grunt,16
35,white grunt,10
35,white grunt,10
35,white grunt,11
35,white grunt,11
35,white grunt,12
35,white grunt,12
35,white grunt,13
35,white grunt,13
35,white grunt,14
35,white grunt,14
35,white grunt,23
36,white grunt,5
36,white grunt,5
36,white grunt,5
36,white grunt,5
36,white grunt,5
36,white grunt,6
36,white grunt,6
36,white grunt,6
36,white grunt,6
36,white grunt,6
36,white grunt,8
36,white grunt,9
36,white grunt,10
36,white grunt,11
36,white grunt,20
36,white grunt,19
36,white grunt,18
36,white grunt,17
36,white grunt,14
36,white grunt,15
36,white grunt,16
36,white grunt,17
36,white grunt,18
36,white grunt,19
36,white grunt,20
36,white grunt,16
36,white grunt,17
36,white grunt,18
36,white grunt,16
36,white grunt,14
36,white grunt,14
36,white grunt,15
36,white grunt,15
36,white grunt,16
36,white grunt,16
36,white grunt,17
36,white grunt,17
36,white grunt,18
36,white grunt,18
36,white grunt,15
36,white grunt,16
36,white grunt,8
36,white grunt,8
36,white grunt,8
36,white grunt,9
36,white grunt,9
36,white grunt,9
36,white grunt,10
36,white grunt,10
36,white grunt,10
36,white grunt,9
36,white grunt,18
36,white grunt,19
36,white grunt,20
36,white grunt,24
36,white grunt,23
36,white grunt,22
36,redband parrotfish,14
37,white grunt,11
37,white grunt,12
37,white grunt,13
37,white grunt,17
37,white grunt,16
37,white grunt,15
37,white grunt,10
37,white grunt,11
37,white grunt,12
37,white grunt,13
37,white grunt,14
37,white grunt,11
37,white grunt,12
37,white grunt,13
37,white grunt,7
37,white grunt,7
37,white grunt,8
37,white grunt,8
37,white grunt,9
37,white grunt,9
37,white grunt,10
37,white grunt,10
37,white grunt,7
37,white grunt,8
37,white grunt,9
37,white grunt,10
37,white grunt,14
37,white grunt,14
37,white grunt,15
37,white grunt,15
37,white grunt,16
37,white grunt,16
37,white grunt,10
37,white grunt,12
37,white grunt,20
37,white grunt,18
37,white grunt,17
